trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5, 'e': 0.8032075314806449}",30,10,-95.12484225230587,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.7973206537727071}",20,16,7.4713593925775825,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.7913569286406604}",20,0,-162.65219560600332,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.7853169308807448}",20,6,0.08862836707989707,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.7792012426405168}",30,9,-99.23241214003117,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.7730104533627371}",30,15,-115.11770923774844,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.7667451597285616}",25,0,-158.09032484039787,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.7604059656000309}",25,2,-96.87486289004747,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.7539934819618695}",20,0,-75.35321435637702,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.7475083268625967}",20,0,-57.873963710563615,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.740951125354959}",25,0,-64.31960761519163,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.7343225094356857}",25,0,-43.48409404150083,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.7276231179845747}",20,0,12.705587556574795,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.7208535967029189}",20,6,-23.505533292563364,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.7140145980512683}",20,0,-75.94966623031807,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.7071067811865476}",20,4,-32.37214475590694,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.7001308118985237}",20,0,-1.8268503315861149,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.6930873625456359}",25,0,-51.19692460646641,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.6859771119901927}",20,6,-34.38336576148572,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.6788007455329417}",25,6,-73.69748534437721,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.6715589548470186}",25,16,-14.70971100441323,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.6642524379112819}",20,9,-69.25482678816992,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.6568818989430415}",20,0,-85.45027853799715,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.6494480483301838}",25,14,-24.89679455006037,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.6419516025627031}",25,14,14.327284995031377,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.6343932841636455}",30,7,-74.52444795770334,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.6267738216194695}",30,1,-51.716686896668115,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.6190939493098342}",30,8,-60.143866694222766,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.6113544074368167}",25,0,-129.29418761644376,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.6035559419535715}",25,1,-40.42241975254776,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5956993044924335}",20,9,-50.21662572971183,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5877852522924732}",30,12,-41.936126313530316,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.5798145481265137}",20,0,-41.08080858630399,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5717879602276122}",20,4,-30.85649449252252,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.5637062622150166}",35,14,-31.802618556598595,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.5555702330196022}",20,3,-65.73782318870494,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.5473806568087968}",20,7,-11.461183166906794,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.5391383229110004}",25,8,-2.9884450667687537,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5308440257395096}",25,0,-17.711714014557895,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5224985647159489}",20,3,-75.50244388703584,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.5141027441932218}",20,3,-27.38066839342393,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.5056573733779846}",20,14,-1.9518838703601822,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.49716326625265433}",20,0,-59.783823956546755,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.48862124149695524}",20,10,-16.07921034882204,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4800321224090114}",20,10,-25.130761192237387,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.4713967368259978}",20,0,-3.914983833106255,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.4627159170443502}",20,6,-0.908783809501208,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.45399049973954686}",35,25,16.729680995685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.44522132588546826}",20,8,-14.695064416334612,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4364092406733421}",30,24,8.515090845408366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.42755509343028203}",20,0,-38.84008419739477,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.41865973753742797}",20,13,12.775692152632995,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.40972403034769556}",25,5,-35.46520790129233,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.40074883310314113}",20,11,-36.99858897889523,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3917350108519561}",35,9,-53.55020259507679,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.3826834323650899}",20,0,-0.6645695195305861,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.3735949700525164}",20,10,-14.287489961288394,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.36447049987914965}",30,16,-34.56782024438417,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.3553109012804161}",20,0,-5.382987110441136,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.3461170570774933}",25,5,-49.18596321893799,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.33688985339222033}",20,13,-31.879993049022147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.3276301795616937}",35,21,15.31800715616987,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.3183389280525499}",20,13,10.018282156641583,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.3090169943749475}",25,15,-15.217386667947165,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.29966527699625667}",20,6,-4.595720628717256,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2902846772544624}",25,7,33.32535150983458,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.28087609927129203}",20,0,-42.25907056982746,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.27144044986507415}",20,9,13.476224361870159,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26197863846333774}",20,9,-14.242620635078078,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2524915770151582}",25,7,-3.4809089753238123,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
