trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
36,False,"{'a': 0.7, 'e': 0.9381913359224842}",20,0,-94.35597682757768,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
37,False,"{'a': 0.7, 'e': 0.9347481818282924}",25,0,-123.98055889995581,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
38,False,"{'a': 0.7, 'e': 0.9312149347588036}",25,0,-54.824258174319475,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
39,False,"{'a': 0.7, 'e': 0.9275919352557241}",20,0,-64.28532749035482,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.7, 'e': 0.9238795325112867}",25,10,-91.98997037494628,"{0: 7, 1: 4, 2: 2, 3: 1, 4: 1}",1
41,False,"{'a': 0.7, 'e': 0.9200780843345949}",20,0,-100.69744002942574,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
42,False,"{'a': 0.7, 'e': 0.9161879571171359}",25,0,-170.01688835544658,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
43,False,"{'a': 0.7, 'e': 0.9122095257974677}",20,0,-126.4512302615415,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.7, 'e': 0.9081431738250815}",35,0,-155.4472649513486,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.9039892931234434}",20,6,-48.222187031182266,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.7, 'e': 0.8997482840522215}",20,0,-97.28431283161154,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.7, 'e': 0.895420555368697}",25,1,-59.74049807141803,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
48,False,"{'a': 0.7, 'e': 0.8910065241883679}",20,0,-74.88232365316551,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.8865066159447464}",20,0,-119.72539751772925,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
50,False,"{'a': 0.7, 'e': 0.881921264348355}",25,0,-42.06705586800327,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.8772509113449244}",25,0,-116.1208251574657,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
52,False,"{'a': 0.7, 'e': 0.8724960070727971}",25,0,-189.21752869889102,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",1
53,False,"{'a': 0.7, 'e': 0.8676570098195441}",30,11,-82.34206786671093,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
54,False,"{'a': 0.7, 'e': 0.862734385977792}",35,0,-102.41241041588138,"{0: 26, 1: 4, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.7, 'e': 0.8577286100002721}",25,0,-54.46439424317234,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
56,False,"{'a': 0.7, 'e': 0.8526401643540923}",25,6,-48.725745287111685,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.8474695394742344}",25,0,-146.88518616690513,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 2}",0
